problem_id,domain,language,prompt,model,run,correct
28888083,Geometría,ES,ZS,GPT-4o,2,1
32509360,Geometría,ES,ZS,GPT-4o,2,0
91245748,Cálculo,ES,ZS,GPT-4o,2,0
69096660,Cálculo,ES,ZS,GPT-4o,2,0
92325881,Cálculo,ES,ZS,GPT-4o,2,1
37339456,Cálculo,ES,ZS,GPT-4o,2,1
68035715,Geometría,ES,ZS,GPT-4o,2,0
88300591,Lógica Matemática,ES,ZS,GPT-4o,2,1
30264009,Lógica Matemática,ES,ZS,GPT-4o,2,1
69874541,Lógica Matemática,ES,ZS,GPT-4o,2,1
42283864,Lógica Matemática,ES,ZS,GPT-4o,2,1
40400682,Probabilidad,ES,ZS,GPT-4o,2,0
11740200,Lógica Matemática,ES,ZS,GPT-4o,2,0
10016400,Lógica Matemática,ES,ZS,GPT-4o,2,0
22015068,Lógica Matemática,ES,ZS,GPT-4o,2,1
95825976,Probabilidad,ES,ZS,GPT-4o,2,0
13123055,Cálculo,ES,ZS,GPT-4o,2,0
41926288,Cálculo,ES,ZS,GPT-4o,2,1
39422336,Teoria de Números,ES,ZS,GPT-4o,2,0
46648638,Álgebra,ES,ZS,GPT-4o,2,1
91557340,Álgebra,ES,ZS,GPT-4o,2,1
95742475,Teoria de Números,ES,ZS,GPT-4o,2,1
37465279,Teoria de Números,ES,ZS,GPT-4o,2,0
46784732,Álgebra,ES,ZS,GPT-4o,2,0
77573257,Teoria de Números,ES,ZS,GPT-4o,2,0
50587904,Álgebra,ES,ZS,GPT-4o,2,0
77476392,Cálculo,ES,ZS,GPT-4o,2,1
82424055,Lógica Matemática,ES,ZS,GPT-4o,2,1
83268318,Lógica Matemática,ES,ZS,GPT-4o,2,0
12631363,Teoria de Números,ES,ZS,GPT-4o,2,1
53431694,Teoria de Números,ES,ZS,GPT-4o,2,0
27600538,Álgebra,ES,ZS,GPT-4o,2,1
67048238,Teoria de Números,ES,ZS,GPT-4o,2,0
10501336,Álgebra,ES,ZS,GPT-4o,2,0
10819664,Teoria de Números,ES,ZS,GPT-4o,2,1
84414289,Teoria de Números,ES,ZS,GPT-4o,2,0
93030585,Álgebra,ES,ZS,GPT-4o,2,1
37967363,Álgebra,ES,ZS,GPT-4o,2,1
91250457,Álgebra,ES,ZS,GPT-4o,2,1
22774437,Álgebra,ES,ZS,GPT-4o,2,1
24705295,Álgebra,ES,ZS,GPT-4o,2,1
13226850,Álgebra,ES,ZS,GPT-4o,2,1
89629381,Teoria de Números,ES,ZS,GPT-4o,2,1
30542860,Geometría,ES,ZS,GPT-4o,2,0
39221677,Geometría,ES,ZS,GPT-4o,2,1
28658009,Teoria de Números,ES,ZS,GPT-4o,2,1
69710886,Teoria de Números,ES,ZS,GPT-4o,2,0
78646333,Geometría,ES,ZS,GPT-4o,2,0
52601141,Lógica Matemática,ES,ZS,GPT-4o,2,0
49790913,Teoria de Números,ES,ZS,GPT-4o,2,0
39271842,Álgebra,ES,ZS,GPT-4o,2,1
33207141,Geometría,ES,ZS,GPT-4o,2,1
41858890,Geometría,ES,ZS,GPT-4o,2,1
14793502,Probabilidad,ES,ZS,GPT-4o,2,1
31369699,Teoria de Números,ES,ZS,GPT-4o,2,1
35785392,Lógica Matemática,ES,ZS,GPT-4o,2,1
36102586,Álgebra,ES,ZS,GPT-4o,2,1
41485018,Probabilidad,ES,ZS,GPT-4o,2,0
44556592,Cálculo,ES,ZS,GPT-4o,2,0
54579607,Cálculo,ES,ZS,GPT-4o,2,0
60713931,Probabilidad,ES,ZS,GPT-4o,2,1
64041478,Álgebra,ES,ZS,GPT-4o,2,0
65904660,Lógica Matemática,ES,ZS,GPT-4o,2,0
69758831,Teoria de Números,ES,ZS,GPT-4o,2,0
70107447,Probabilidad,ES,ZS,GPT-4o,2,1
70675663,Cálculo,ES,ZS,GPT-4o,2,0
75069520,Probabilidad,ES,ZS,GPT-4o,2,0
75721634,Geometría,ES,ZS,GPT-4o,2,0
80693918,Teoria de Números,ES,ZS,GPT-4o,2,0
80866823,Probabilidad,ES,ZS,GPT-4o,2,1
84145301,Probabilidad,ES,ZS,GPT-4o,2,0
85182422,Probabilidad,ES,ZS,GPT-4o,2,0
92277356,Geometría,ES,ZS,GPT-4o,2,1
94075696,Geometría,ES,ZS,GPT-4o,2,1
97250565,Geometría,ES,ZS,GPT-4o,2,0
11110001,Cálculo,ES,ZS,GPT-4o,2,1
11110002,Cálculo,ES,ZS,GPT-4o,2,1
11110003,Cálculo,ES,ZS,GPT-4o,2,0
11110004,Lógica Matemática,ES,ZS,GPT-4o,2,1
11110005,Lógica Matemática,ES,ZS,GPT-4o,2,1
11110006,Lógica Matemática,ES,ZS,GPT-4o,2,0
29686107,Probabilidad,ES,ZS,GPT-4o,2,0
66145698,Probabilidad,ES,ZS,GPT-4o,2,1
39293819,Probabilidad,ES,ZS,GPT-4o,2,0
13410727,Probabilidad,ES,ZS,GPT-4o,2,0
64475599,Probabilidad,ES,ZS,GPT-4o,2,0
11110007,Combinatoria,ES,ZS,GPT-4o,2,0
11110008,Combinatoria,ES,ZS,GPT-4o,2,0
11110009,Combinatoria,ES,ZS,GPT-4o,2,1
11110010,Combinatoria,ES,ZS,GPT-4o,2,1
11110011,Combinatoria,ES,ZS,GPT-4o,2,1
11110012,Combinatoria,ES,ZS,GPT-4o,2,1
11110013,Combinatoria,ES,ZS,GPT-4o,2,0
11110014,Combinatoria,ES,ZS,GPT-4o,2,1
11110015,Combinatoria,ES,ZS,GPT-4o,2,1
11110016,Combinatoria,ES,ZS,GPT-4o,2,0
11110017,Combinatoria,ES,ZS,GPT-4o,2,1
11110018,Combinatoria,ES,ZS,GPT-4o,2,0
11110019,Combinatoria,ES,ZS,GPT-4o,2,0
11110020,Combinatoria,ES,ZS,GPT-4o,2,0
38829155,Cálculo,ES,ZS,GPT-4o,3,0
57228746,Geometría,ES,ZS,GPT-4o,3,0
67283791,Geometría,ES,ZS,GPT-4o,3,0
22560123,Cálculo,ES,ZS,GPT-4o,3,0
11903135,Geometría,ES,ZS,GPT-4o,3,1
28888083,Geometría,ES,ZS,GPT-4o,3,1
32509360,Geometría,ES,ZS,GPT-4o,3,0
91245748,Cálculo,ES,ZS,GPT-4o,3,0
69096660,Cálculo,ES,ZS,GPT-4o,3,1
92325881,Cálculo,ES,ZS,GPT-4o,3,0
37339456,Cálculo,ES,ZS,GPT-4o,3,1
68035715,Geometría,ES,ZS,GPT-4o,3,0
88300591,Lógica Matemática,ES,ZS,GPT-4o,3,1
30264009,Lógica Matemática,ES,ZS,GPT-4o,3,1
69874541,Lógica Matemática,ES,ZS,GPT-4o,3,1
42283864,Lógica Matemática,ES,ZS,GPT-4o,3,1
40400682,Probabilidad,ES,ZS,GPT-4o,3,1
11740200,Lógica Matemática,ES,ZS,GPT-4o,3,0
10016400,Lógica Matemática,ES,ZS,GPT-4o,3,0
22015068,Lógica Matemática,ES,ZS,GPT-4o,3,0
95825976,Probabilidad,ES,ZS,GPT-4o,3,0
13123055,Cálculo,ES,ZS,GPT-4o,3,0
41926288,Cálculo,ES,ZS,GPT-4o,3,1
39422336,Teoria de Números,ES,ZS,GPT-4o,3,1
46648638,Álgebra,ES,ZS,GPT-4o,3,1
91557340,Álgebra,ES,ZS,GPT-4o,3,0
95742475,Teoria de Números,ES,ZS,GPT-4o,3,1
37465279,Teoria de Números,ES,ZS,GPT-4o,3,1
46784732,Álgebra,ES,ZS,GPT-4o,3,0
77573257,Teoria de Números,ES,ZS,GPT-4o,3,0
50587904,Álgebra,ES,ZS,GPT-4o,3,0
77476392,Cálculo,ES,ZS,GPT-4o,3,1
82424055,Lógica Matemática,ES,ZS,GPT-4o,3,1
83268318,Lógica Matemática,ES,ZS,GPT-4o,3,0
12631363,Teoria de Números,ES,ZS,GPT-4o,3,1
53431694,Teoria de Números,ES,ZS,GPT-4o,3,0
27600538,Álgebra,ES,ZS,GPT-4o,3,1
67048238,Teoria de Números,ES,ZS,GPT-4o,3,0
10501336,Álgebra,ES,ZS,GPT-4o,3,0
10819664,Teoria de Números,ES,ZS,GPT-4o,3,1
84414289,Teoria de Números,ES,ZS,GPT-4o,3,0
93030585,Álgebra,ES,ZS,GPT-4o,3,1
37967363,Álgebra,ES,ZS,GPT-4o,3,0
91250457,Álgebra,ES,ZS,GPT-4o,3,1
22774437,Álgebra,ES,ZS,GPT-4o,3,1
24705295,Álgebra,ES,ZS,GPT-4o,3,1
13226850,Álgebra,ES,ZS,GPT-4o,3,0
89629381,Teoria de Números,ES,ZS,GPT-4o,3,0
30542860,Geometría,ES,ZS,GPT-4o,3,0
39221677,Geometría,ES,ZS,GPT-4o,3,0
28658009,Teoria de Números,ES,ZS,GPT-4o,3,1
69710886,Teoria de Números,ES,ZS,GPT-4o,3,0
78646333,Geometría,ES,ZS,GPT-4o,3,0
52601141,Lógica Matemática,ES,ZS,GPT-4o,3,0
49790913,Teoria de Números,ES,ZS,GPT-4o,3,0
39271842,Álgebra,ES,ZS,GPT-4o,3,1
33207141,Geometría,ES,ZS,GPT-4o,3,0
41858890,Geometría,ES,ZS,GPT-4o,3,0
14793502,Probabilidad,ES,ZS,GPT-4o,3,1
31369699,Teoria de Números,ES,ZS,GPT-4o,3,0
35785392,Lógica Matemática,ES,ZS,GPT-4o,3,1
36102586,Álgebra,ES,ZS,GPT-4o,3,1
41485018,Probabilidad,ES,ZS,GPT-4o,3,0
44556592,Cálculo,ES,ZS,GPT-4o,3,0
54579607,Cálculo,ES,ZS,GPT-4o,3,0
60713931,Probabilidad,ES,ZS,GPT-4o,3,0
64041478,Álgebra,ES,ZS,GPT-4o,3,0
65904660,Lógica Matemática,ES,ZS,GPT-4o,3,0
69758831,Teoria de Números,ES,ZS,GPT-4o,3,0
70107447,Probabilidad,ES,ZS,GPT-4o,3,1
70675663,Cálculo,ES,ZS,GPT-4o,3,0
75069520,Probabilidad,ES,ZS,GPT-4o,3,0
75721634,Geometría,ES,ZS,GPT-4o,3,0
80693918,Teoria de Números,ES,ZS,GPT-4o,3,0
80866823,Probabilidad,ES,ZS,GPT-4o,3,1
84145301,Probabilidad,ES,ZS,GPT-4o,3,0
85182422,Probabilidad,ES,ZS,GPT-4o,3,0
92277356,Geometría,ES,ZS,GPT-4o,3,1
94075696,Geometría,ES,ZS,GPT-4o,3,0
97250565,Geometría,ES,ZS,GPT-4o,3,0
11110001,Cálculo,ES,ZS,GPT-4o,3,0
11110002,Cálculo,ES,ZS,GPT-4o,3,0
11110003,Cálculo,ES,ZS,GPT-4o,3,1
11110004,Lógica Matemática,ES,ZS,GPT-4o,3,1
11110005,Lógica Matemática,ES,ZS,GPT-4o,3,1
11110006,Lógica Matemática,ES,ZS,GPT-4o,3,0
29686107,Probabilidad,ES,ZS,GPT-4o,3,0
66145698,Probabilidad,ES,ZS,GPT-4o,3,1
39293819,Probabilidad,ES,ZS,GPT-4o,3,1
13410727,Probabilidad,ES,ZS,GPT-4o,3,0
64475599,Probabilidad,ES,ZS,GPT-4o,3,1
11110007,Combinatoria,ES,ZS,GPT-4o,3,0
11110008,Combinatoria,ES,ZS,GPT-4o,3,0
11110009,Combinatoria,ES,ZS,GPT-4o,3,1
11110010,Combinatoria,ES,ZS,GPT-4o,3,1
11110011,Combinatoria,ES,ZS,GPT-4o,3,1
11110012,Combinatoria,ES,ZS,GPT-4o,3,1
11110013,Combinatoria,ES,ZS,GPT-4o,3,1
11110014,Combinatoria,ES,ZS,GPT-4o,3,0
11110015,Combinatoria,ES,ZS,GPT-4o,3,1
11110016,Combinatoria,ES,ZS,GPT-4o,3,0
11110017,Combinatoria,ES,ZS,GPT-4o,3,1
11110018,Combinatoria,ES,ZS,GPT-4o,3,0
11110019,Combinatoria,ES,ZS,GPT-4o,3,1
11110020,Combinatoria,ES,ZS,GPT-4o,3,0
38829155,Cálculo,ES,COT,GPT-4o,1,1
57228746,Geometría,ES,COT,GPT-4o,1,0
67283791,Geometría,ES,COT,GPT-4o,1,0
22560123,Cálculo,ES,COT,GPT-4o,1,1
11903135,Geometría,ES,COT,GPT-4o,1,1
28888083,Geometría,ES,COT,GPT-4o,1,1
32509360,Geometría,ES,COT,GPT-4o,1,0
91245748,Cálculo,ES,COT,GPT-4o,1,0
69096660,Cálculo,ES,COT,GPT-4o,1,0
92325881,Cálculo,ES,COT,GPT-4o,1,1
37339456,Cálculo,ES,COT,GPT-4o,1,1
68035715,Geometría,ES,COT,GPT-4o,1,0
88300591,Lógica Matemática,ES,COT,GPT-4o,1,1
30264009,Lógica Matemática,ES,COT,GPT-4o,1,0
69874541,Lógica Matemática,ES,COT,GPT-4o,1,1
42283864,Lógica Matemática,ES,COT,GPT-4o,1,0
40400682,Probabilidad,ES,COT,GPT-4o,1,0
11740200,Lógica Matemática,ES,COT,GPT-4o,1,1
10016400,Lógica Matemática,ES,COT,GPT-4o,1,0
22015068,Lógica Matemática,ES,COT,GPT-4o,1,0
95825976,Probabilidad,ES,COT,GPT-4o,1,0
13123055,Cálculo,ES,COT,GPT-4o,1,0
41926288,Cálculo,ES,COT,GPT-4o,1,1
39422336,Teoria de Números,ES,COT,GPT-4o,1,0
46648638,Álgebra,ES,COT,GPT-4o,1,1
91557340,Álgebra,ES,COT,GPT-4o,1,1
95742475,Teoria de Números,ES,COT,GPT-4o,1,0
37465279,Teoria de Números,ES,COT,GPT-4o,1,0
46784732,Álgebra,ES,COT,GPT-4o,1,1
77573257,Teoria de Números,ES,COT,GPT-4o,1,0
50587904,Álgebra,ES,COT,GPT-4o,1,0
77476392,Cálculo,ES,COT,GPT-4o,1,1
82424055,Lógica Matemática,ES,COT,GPT-4o,1,1
83268318,Lógica Matemática,ES,COT,GPT-4o,1,0
12631363,Teoria de Números,ES,COT,GPT-4o,1,1
53431694,Teoria de Números,ES,COT,GPT-4o,1,0
27600538,Álgebra,ES,COT,GPT-4o,1,1
67048238,Teoria de Números,ES,COT,GPT-4o,1,0
10501336,Álgebra,ES,COT,GPT-4o,1,0
10819664,Teoria de Números,ES,COT,GPT-4o,1,1
84414289,Teoria de Números,ES,COT,GPT-4o,1,0
93030585,Álgebra,ES,COT,GPT-4o,1,1
37967363,Álgebra,ES,COT,GPT-4o,1,0
91250457,Álgebra,ES,COT,GPT-4o,1,1
22774437,Álgebra,ES,COT,GPT-4o,1,1
24705295,Álgebra,ES,COT,GPT-4o,1,1
13226850,Álgebra,ES,COT,GPT-4o,1,0
89629381,Teoria de Números,ES,COT,GPT-4o,1,0
30542860,Geometría,ES,COT,GPT-4o,1,0
39221677,Geometría,ES,COT,GPT-4o,1,0
28658009,Teoria de Números,ES,COT,GPT-4o,1,1
69710886,Teoria de Números,ES,COT,GPT-4o,1,0
78646333,Geometría,ES,COT,GPT-4o,1,0
52601141,Lógica Matemática,ES,COT,GPT-4o,1,0
49790913,Teoria de Números,ES,COT,GPT-4o,1,0
39271842,Álgebra,ES,COT,GPT-4o,1,1
33207141,Geometría,ES,COT,GPT-4o,1,1
41858890,Geometría,ES,COT,GPT-4o,1,0
14793502,Probabilidad,ES,COT,GPT-4o,1,1
31369699,Teoria de Números,ES,COT,GPT-4o,1,1
35785392,Lógica Matemática,ES,COT,GPT-4o,1,1
36102586,Álgebra,ES,COT,GPT-4o,1,1
41485018,Probabilidad,ES,COT,GPT-4o,1,0
44556592,Cálculo,ES,COT,GPT-4o,1,0
54579607,Cálculo,ES,COT,GPT-4o,1,1
60713931,Probabilidad,ES,COT,GPT-4o,1,0
64041478,Álgebra,ES,COT,GPT-4o,1,0
65904660,Lógica Matemática,ES,COT,GPT-4o,1,0
69758831,Teoria de Números,ES,COT,GPT-4o,1,0
70107447,Probabilidad,ES,COT,GPT-4o,1,1
70675663,Cálculo,ES,COT,GPT-4o,1,0
75069520,Probabilidad,ES,COT,GPT-4o,1,0
75721634,Geometría,ES,COT,GPT-4o,1,0
80693918,Teoria de Números,ES,COT,GPT-4o,1,0
80866823,Probabilidad,ES,COT,GPT-4o,1,1
84145301,Probabilidad,ES,COT,GPT-4o,1,0
85182422,Probabilidad,ES,COT,GPT-4o,1,0
92277356,Geometría,ES,COT,GPT-4o,1,1
94075696,Geometría,ES,COT,GPT-4o,1,1
97250565,Geometría,ES,COT,GPT-4o,1,0
11110001,Cálculo,ES,COT,GPT-4o,1,1
11110002,Cálculo,ES,COT,GPT-4o,1,0
11110003,Cálculo,ES,COT,GPT-4o,1,1
11110004,Lógica Matemática,ES,COT,GPT-4o,1,0
11110005,Lógica Matemática,ES,COT,GPT-4o,1,1
11110006,Lógica Matemática,ES,COT,GPT-4o,1,0
29686107,Probabilidad,ES,COT,GPT-4o,1,0
66145698,Probabilidad,ES,COT,GPT-4o,1,1
39293819,Probabilidad,ES,COT,GPT-4o,1,1
13410727,Probabilidad,ES,COT,GPT-4o,1,0
64475599,Probabilidad,ES,COT,GPT-4o,1,1
11110007,Combinatoria,ES,COT,GPT-4o,1,0
11110008,Combinatoria,ES,COT,GPT-4o,1,0
11110009,Combinatoria,ES,COT,GPT-4o,1,1
11110010,Combinatoria,ES,COT,GPT-4o,1,1
11110011,Combinatoria,ES,COT,GPT-4o,1,0
11110012,Combinatoria,ES,COT,GPT-4o,1,1
11110013,Combinatoria,ES,COT,GPT-4o,1,1
11110014,Combinatoria,ES,COT,GPT-4o,1,1
11110015,Combinatoria,ES,COT,GPT-4o,1,1
11110016,Combinatoria,ES,COT,GPT-4o,1,0
11110017,Combinatoria,ES,COT,GPT-4o,1,0
11110018,Combinatoria,ES,COT,GPT-4o,1,0
11110019,Combinatoria,ES,COT,GPT-4o,1,0
11110020,Combinatoria,ES,COT,GPT-4o,1,0
38829155,Cálculo,ES,COT,GPT-4o,2,0
57228746,Geometría,ES,COT,GPT-4o,2,0
67283791,Geometría,ES,COT,GPT-4o,2,0
22560123,Cálculo,ES,COT,GPT-4o,2,1
11903135,Geometría,ES,COT,GPT-4o,2,0
28888083,Geometría,ES,COT,GPT-4o,2,0
32509360,Geometría,ES,COT,GPT-4o,2,0
91245748,Cálculo,ES,COT,GPT-4o,2,0
69096660,Cálculo,ES,COT,GPT-4o,2,0
92325881,Cálculo,ES,COT,GPT-4o,2,1
37339456,Cálculo,ES,COT,GPT-4o,2,1
68035715,Geometría,ES,COT,GPT-4o,2,0
88300591,Lógica Matemática,ES,COT,GPT-4o,2,1
30264009,Lógica Matemática,ES,COT,GPT-4o,2,1
69874541,Lógica Matemática,ES,COT,GPT-4o,2,1
42283864,Lógica Matemática,ES,COT,GPT-4o,2,0
40400682,Probabilidad,ES,COT,GPT-4o,2,1
11740200,Lógica Matemática,ES,COT,GPT-4o,2,0
10016400,Lógica Matemática,ES,COT,GPT-4o,2,0
22015068,Lógica Matemática,ES,COT,GPT-4o,2,1
95825976,Probabilidad,ES,COT,GPT-4o,2,0
13123055,Cálculo,ES,COT,GPT-4o,2,0
41926288,Cálculo,ES,COT,GPT-4o,2,1
39422336,Teoria de Números,ES,COT,GPT-4o,2,0
46648638,Álgebra,ES,COT,GPT-4o,2,1
91557340,Álgebra,ES,COT,GPT-4o,2,0
95742475,Teoria de Números,ES,COT,GPT-4o,2,1
37465279,Teoria de Números,ES,COT,GPT-4o,2,1
46784732,Álgebra,ES,COT,GPT-4o,2,0
77573257,Teoria de Números,ES,COT,GPT-4o,2,0
50587904,Álgebra,ES,COT,GPT-4o,2,0
77476392,Cálculo,ES,COT,GPT-4o,2,1
82424055,Lógica Matemática,ES,COT,GPT-4o,2,0
83268318,Lógica Matemática,ES,COT,GPT-4o,2,0
12631363,Teoria de Números,ES,COT,GPT-4o,2,1
53431694,Teoria de Números,ES,COT,GPT-4o,2,0
27600538,Álgebra,ES,COT,GPT-4o,2,1
67048238,Teoria de Números,ES,COT,GPT-4o,2,0
10501336,Álgebra,ES,COT,GPT-4o,2,0
10819664,Teoria de Números,ES,COT,GPT-4o,2,1
84414289,Teoria de Números,ES,COT,GPT-4o,2,0
93030585,Álgebra,ES,COT,GPT-4o,2,1
37967363,Álgebra,ES,COT,GPT-4o,2,1
91250457,Álgebra,ES,COT,GPT-4o,2,1
22774437,Álgebra,ES,COT,GPT-4o,2,1
24705295,Álgebra,ES,COT,GPT-4o,2,1
13226850,Álgebra,ES,COT,GPT-4o,2,0
89629381,Teoria de Números,ES,COT,GPT-4o,2,0
30542860,Geometría,ES,COT,GPT-4o,2,0
39221677,Geometría,ES,COT,GPT-4o,2,1
28658009,Teoria de Números,ES,COT,GPT-4o,2,1
69710886,Teoria de Números,ES,COT,GPT-4o,2,0
78646333,Geometría,ES,COT,GPT-4o,2,0
52601141,Lógica Matemática,ES,COT,GPT-4o,2,1
49790913,Teoria de Números,ES,COT,GPT-4o,2,0
39271842,Álgebra,ES,COT,GPT-4o,2,1
33207141,Geometría,ES,COT,GPT-4o,2,1
41858890,Geometría,ES,COT,GPT-4o,2,0
14793502,Probabilidad,ES,COT,GPT-4o,2,1
31369699,Teoria de Números,ES,COT,GPT-4o,2,1
35785392,Lógica Matemática,ES,COT,GPT-4o,2,1
36102586,Álgebra,ES,COT,GPT-4o,2,1
41485018,Probabilidad,ES,COT,GPT-4o,2,0
44556592,Cálculo,ES,COT,GPT-4o,2,0
54579607,Cálculo,ES,COT,GPT-4o,2,1
60713931,Probabilidad,ES,COT,GPT-4o,2,0
64041478,Álgebra,ES,COT,GPT-4o,2,0
65904660,Lógica Matemática,ES,COT,GPT-4o,2,0
69758831,Teoria de Números,ES,COT,GPT-4o,2,0
